id	name	address	city	phone	type
1	arnie morton of chicago	435 south la cienega boulevard	los angeles	3102461501	american
3	art delicatessen	12224 ventura boulevard	studio city	8187621221	american
4	art deli	12224 ventura boulevard	studio city	8187621221	delis
5	bel-air	701 stone canyon road	bel air	3104721211	californian
7	cafe bizou	14016 ventura boulevard	sherman oaks	8187883536	french
9	campanile	624 south la brea avenue	los angeles	2139381447	american
11	chinois	2709 main street	santa monica	3103929025	french
13	citrus	6703 melrose avenue	los angeles	2138570034	californian
15	fenix	8358 sunset blvd west	hollywood	2138486677	american
16	fenix at argyle	8358 sunset boulevard	hollywood	2138486677	french 
17	granita	23725 west malibu road	malibu	3104560488	californian
19	grill	9560 dayton way	los angeles	3102760615	american
21	katsu	1972 north hillhurst avenue	los angeles	2136651891	asian
23	l'orangerie	903 north la cienega boulevard	los angeles	3106529770	french
25	le chardonnay	8284 melrose avenue	los angeles	2136558880	french
27	locanda veneta	3rd street	los angeles	3102741893	italian
29	matsuhisa	129 north la cienega boulevard	beverly hills	3106599639	asian
31	palm	9001 santa monica boulevard	los angeles	3105508811	american
33	patina	5955 melrose avenue	los angeles	2134671108	californian
35	philippe original	1001 north alameda street	los angeles	2136283781	american
37	pinot	12969 ventura boulevard	los angeles	8189900500	french
39	rex il ristorante	617 south olive street	los angeles	2136272300	italian
41	spago	1114 horn avenue	los angeles	3106524025	californian
43	valentino	3115 pico boulevard	santa monica	3108294313	italian
45	yujean kang gourmet chinese cuisine	67 north raymond avenue	los angeles	8185850855	asian
46	yujean kang	67 north raymond avenue	pasadena	8185850855	chinese
47	21 club	21 west 52nd street	new york	2125827200	american
49	aquavit	13 west 54th street	new york	2123077311	continental
51	aureole	34 east 61st street	new york	2123191660	american
53	cafe lalo	201 west 83rd street	new york	2124966031	coffee bar
55	cafe des artistes	1 west 67th street	new york	2128773500	continental
57	carmine	2450 broadway between 90th and 91st sts	new york	2123622200	italian
59	carnegie deli	854 7th ave between 54th and 55th sts	new york	2127572245	delicatessen
61	chanterelle	2 harrison st near hudson street	new york	2129666960	american
63	daniel	20 east 76th street	new york	2122880033	french
65	dawat	210 east 58th street	new york	2123557555	asian
67	felidia	243 east 58th street	new york	2127581479	italian
69	four seasons grill room	99 east 52nd street	new york	2127549494	american
70	four seasons	99 east 52nd street	new york	2127549494	american 
71	gotham bargrill	12 east 12th street	new york	2126204020	american
73	gramercy tavern	42 east 20th st between park ave south and broadway	new york	2124770777	american
75	island spice	402 west 44th street	new york	2127651737	tel caribbean
77	jo jo	160 east 64th street	new york	2122235656	american
79	la caravelle	33 west 55th street	new york	2125864252	french
81	la cote basque	60 west 55th st between 5th and 6th avenue	new york	2126886525	french
83	le bernardin	155 west 51st street	new york	2124891515	french
85	les celebrites	160 central park s	new york	2124845113	french
87	lespinasse	2 east 55th street	new york	2123396719	american
89	lutece	249 east 50th street	new york	2127522225	french
91	manhattan ocean club	57 west 58th street	new york	2123717777	seafood
93	march	405 east 58th street	new york	2127546272	american
95	mesa grill	102 5th ave between 15th and 16th sts	new york	2128077400	american
97	mi cocina	57 jane st off hudson street	new york	2126278273	mexican
99	montrachet	239 west broadway between walker and white sts	new york	2122192777	french
101	oceana	55 east 54th street	new york	2127595941	seafood
103	park avenue cafe	100 east 63rd street	new york	2126441900	american
105	petrossian	182 west 58th street	new york	2122452214	french
107	picholine	35 west 64th street	new york	2127248585	mediterranean
109	pisces	95 ave a at 6th street	new york	2122606660	seafood
111	rainbow room	30 rockefeller plaza	new york	2126325000	or 212
113	river cafe	1 water st at the east river	brooklyn	7185225200	american
115	san domenico	240 central park s	new york	2122655959	italian
117	second avenue deli	156 2nd ave at 10th street	new york	2126770606	delicatessen
119	seryna	11 east 53rd street	new york	2129809393	asian
121	shun lee west	43 west 65th street	new york	2123718844	asian
122	shun lee palace	155 east 55th street	new york	2123718844	chinese
123	sign of dove	1110 3rd ave at 65th street	new york	2128618080	american
125	smithwollensky	201 east 49th street	new york	2127531530	american
127	tavern	in central park at 67th street	new york	2128733200	american
129	uncle nick	747 9th ave between 50th and 51st sts	new york	2123151726	mediterranean
131	union square cafe	21 east 16th street	new york	2122434020	american
133	virgil	152 west 44th street	new york	2129219494	american
134	virgil real bbq	152 west 44th street	new york	2129219494	bbq
135	chin	3200 las vegas blvd s	las vegas	7027338899	asian
137	coyote cafe	3799 las vegas blvd s	las vegas	7028917349	southwestern
139	le montrachet	3000 west paradise road	las vegas	7027325111	continental
141	palace court	3570 las vegas blvd s	las vegas	7027317547	continental
143	second street grill	200 east fremont street	las vegas	7023853232	seafood
145	steak house	2880 las vegas blvd s	las vegas	7027340410	steak houses
147	tillerman	2245 east flamingo road	las vegas	7027314036	seafood
149	abruzzi	2355 peachtree rd peachtree battle shopping center	atlanta	4042618186	italian
